2025-05-31,10:45:34,-,R3:,-68
2025-05-31,10:45:34,-,R6:,-85
2025-05-31,10:45:34,-,R1:,-60
2025-05-31,10:45:34,-,R7:,-64
2025-05-31,10:45:35,-,R5:,-59
2025-05-31,10:45:35,-,R8:,-64
2025-05-31,10:45:36,-,R3:,-65
2025-05-31,10:45:36,-,R6:,-85
2025-05-31,10:45:37,-,R1:,-56
2025-05-31,10:45:37,-,R7:,-59
2025-05-31,10:45:37,-,R2:,-62
2025-05-31,10:45:38,-,R5:,-59
2025-05-31,10:45:39,-,R8:,-69
2025-05-31,10:45:39,-,R3:,-69
2025-05-31,10:45:40,-,R6:,-89
2025-05-31,10:45:41,-,R1:,-61
2025-05-31,10:45:41,-,R7:,-64
2025-05-31,10:45:41,-,R2:,-66
2025-05-31,10:45:41,-,R5:,-58
2025-05-31,10:45:42,-,R8:,-65
2025-05-31,10:45:42,-,R4:,-70
2025-05-31,10:45:43,-,R3:,-65
2025-05-31,10:45:43,-,R6:,-85
2025-05-31,10:45:44,-,R1:,-64
2025-05-31,10:45:44,-,R7:,-64
2025-05-31,10:45:44,-,R2:,-65
2025-05-31,10:45:44,-,R5:,-61
2025-05-31,10:45:45,-,R8:,-73
2025-05-31,10:45:46,-,R4:,-69
2025-05-31,10:45:46,-,R6:,-81
2025-05-31,10:45:49,-,R1:,-61
2025-05-31,10:45:49,-,R7:,-67
2025-05-31,10:45:49,-,R2:,-61
2025-05-31,10:45:49,-,R5:,-60
2025-05-31,10:45:50,-,R8:,-66
2025-05-31,10:45:50,-,R4:,-72
2025-05-31,10:45:51,-,R6:,-81
2025-05-31,10:45:52,-,R1:,-57
2025-05-31,10:45:52,-,R5:,-59
2025-05-31,10:45:52,-,R2:,-64
2025-05-31,10:45:52,-,R7:,-61
2025-05-31,10:45:53,-,R8:,-68
2025-05-31,10:45:53,-,R4:,-76
2025-05-31,10:45:54,-,R6:,-87
2025-05-31,10:45:55,-,R5:,-61
2025-05-31,10:45:55,-,R1:,-54
2025-05-31,10:45:56,-,R7:,-59
2025-05-31,10:45:56,-,R8:,-64
2025-05-31,10:45:57,-,R4:,-64
2025-05-31,10:45:57,-,R3:,-62
2025-05-31,10:45:58,-,R6:,-76
2025-05-31,10:45:59,-,R5:,-59
2025-05-31,10:45:59,-,R1:,-56
2025-05-31,10:45:59,-,R7:,-57
2025-05-31,10:45:59,-,R2:,-68
2025-05-31,10:46:00,-,R8:,-63
2025-05-31,10:46:00,-,R4:,-64
2025-05-31,10:46:01,-,R3:,-64
2025-05-31,10:46:01,-,R6:,-83
2025-05-31,10:46:02,-,R5:,-55
2025-05-31,10:46:02,-,R1:,-57
2025-05-31,10:46:02,-,R2:,-65
2025-05-31,10:46:02,-,R7:,-60
2025-05-31,10:46:04,-,R8:,-69
2025-05-31,10:46:05,-,R4:,-68
2025-05-31,10:46:05,-,R3:,-65
2025-05-31,10:46:06,-,R6:,-86
2025-05-31,10:46:06,-,R5:,-58
2025-05-31,10:46:07,-,R1:,-56
2025-05-31,10:46:07,-,R2:,-65
2025-05-31,10:46:07,-,R7:,-63
2025-05-31,10:46:07,-,R8:,-73
2025-05-31,10:46:08,-,R4:,-69
2025-05-31,10:46:09,-,R3:,-61
2025-05-31,10:46:09,-,R6:,-81
2025-05-31,10:46:10,-,R5:,-56
2025-05-31,10:46:10,-,R1:,-53
2025-05-31,10:46:10,-,R2:,-58
2025-05-31,10:46:10,-,R7:,-55
2025-05-31,10:46:10,-,R8:,-62
2025-05-31,10:46:12,-,R3:,-63
2025-05-31,10:46:12,-,R6:,-86
2025-05-31,10:46:13,-,R5:,-63
2025-05-31,10:46:14,-,R1:,-58
2025-05-31,10:46:14,-,R2:,-60
2025-05-31,10:46:14,-,R7:,-56
2025-05-31,10:46:14,-,R8:,-66
2025-05-31,10:46:16,-,R3:,-65
2025-05-31,10:46:16,-,R6:,-81
2025-05-31,10:46:16,-,R5:,-59
2025-05-31,10:46:17,-,R1:,-58
2025-05-31,10:46:17,-,R8:,-65
2025-05-31,10:46:17,-,R2:,-60
2025-05-31,10:46:17,-,R7:,-58
2025-05-31,10:46:20,-,R3:,-65
2025-05-31,10:46:20,-,R6:,-85
2025-05-31,10:46:20,-,R5:,-58
2025-05-31,10:46:21,-,R1:,-60
2025-05-31,10:46:21,-,R2:,-64
2025-05-31,10:46:22,-,R7:,-62
2025-05-31,10:46:23,-,R3:,-67
2025-05-31,10:46:24,-,R6:,-92
2025-05-31,10:46:25,-,R8:,-72
2025-05-31,10:46:25,-,R1:,-57
2025-05-31,10:46:25,-,R2:,-63
2025-05-31,10:46:25,-,R7:,-53
2025-05-31,10:46:27,-,R3:,-70
2025-05-31,10:46:27,-,R5:,-58
2025-05-31,10:46:27,-,R6:,-86
2025-05-31,10:46:27,-,R4:,-74
2025-05-31,10:46:28,-,R8:,-82
2025-05-31,10:46:28,-,R1:,-58
2025-05-31,10:46:28,-,R2:,-62
2025-05-31,10:46:28,-,R7:,-66
2025-05-31,10:46:30,-,R3:,-68
2025-05-31,10:46:30,-,R6:,-86
2025-05-31,10:46:31,-,R8:,-69
2025-05-31,10:46:32,-,R1:,-60
2025-05-31,10:46:32,-,R2:,-64
