2025-05-31,10:36:41,-,R7:,-62
2025-05-31,10:36:41,-,R1:,-59
2025-05-31,10:36:41,-,R6:,-74
2025-05-31,10:36:41,-,R4:,-62
2025-05-31,10:36:42,-,R2:,-66
2025-05-31,10:36:42,-,R5:,-55
2025-05-31,10:36:42,-,R3:,-67
2025-05-31,10:36:43,-,R7:,-63
2025-05-31,10:36:43,-,R8:,-72
2025-05-31,10:36:43,-,R1:,-59
2025-05-31,10:36:44,-,R6:,-76
2025-05-31,10:36:44,-,R4:,-61
2025-05-31,10:36:45,-,R2:,-69
2025-05-31,10:36:45,-,R5:,-56
2025-05-31,10:36:46,-,R3:,-63
2025-05-31,10:36:46,-,R7:,-65
2025-05-31,10:36:47,-,R8:,-71
2025-05-31,10:36:47,-,R1:,-61
2025-05-31,10:36:47,-,R6:,-72
2025-05-31,10:36:48,-,R2:,-68
2025-05-31,10:36:49,-,R5:,-57
2025-05-31,10:36:49,-,R3:,-63
2025-05-31,10:36:50,-,R8:,-70
2025-05-31,10:36:50,-,R1:,-59
2025-05-31,10:36:50,-,R6:,-72
2025-05-31,10:36:51,-,R4:,-62
2025-05-31,10:36:53,-,R2:,-74
2025-05-31,10:36:53,-,R5:,-55
2025-05-31,10:36:54,-,R3:,-62
2025-05-31,10:36:54,-,R8:,-70
2025-05-31,10:36:55,-,R1:,-62
2025-05-31,10:36:55,-,R6:,-73
2025-05-31,10:36:55,-,R4:,-63
2025-05-31,10:36:56,-,R2:,-69
2025-05-31,10:36:56,-,R5:,-60
2025-05-31,10:36:57,-,R3:,-64
2025-05-31,10:36:57,-,R7:,-66
2025-05-31,10:36:58,-,R8:,-72
2025-05-31,10:36:58,-,R1:,-62
2025-05-31,10:36:58,-,R6:,-74
2025-05-31,10:36:58,-,R4:,-62
2025-05-31,10:37:00,-,R5:,-56
2025-05-31,10:37:00,-,R2:,-69
2025-05-31,10:37:00,-,R3:,-64
2025-05-31,10:37:01,-,R7:,-64
2025-05-31,10:37:01,-,R8:,-72
2025-05-31,10:37:02,-,R1:,-60
2025-05-31,10:37:02,-,R6:,-71
2025-05-31,10:37:03,-,R5:,-57
2025-05-31,10:37:03,-,R2:,-67
2025-05-31,10:37:04,-,R3:,-63
2025-05-31,10:37:04,-,R8:,-70
2025-05-31,10:37:05,-,R1:,-63
2025-05-31,10:37:05,-,R7:,-100
2025-05-31,10:37:05,-,R6:,-71
2025-05-31,10:37:05,-,R4:,-62
2025-05-31,10:37:06,-,R5:,-56
2025-05-31,10:37:07,-,R2:,-66
2025-05-31,10:37:07,-,R3:,-63
2025-05-31,10:37:09,-,R8:,-70
2025-05-31,10:37:09,-,R1:,-62
2025-05-31,10:37:10,-,R6:,-74
2025-05-31,10:37:10,-,R4:,-62
2025-05-31,10:37:10,-,R5:,-59
2025-05-31,10:37:11,-,R2:,-70
