2025-05-31,11:16:56,-,R5:,-57
2025-05-31,11:16:56,-,R1:,-76
2025-05-31,11:16:56,-,R3:,-66
2025-05-31,11:16:57,-,R2:,-100
2025-05-31,11:17:00,-,R5:,-53
2025-05-31,11:17:00,-,R1:,-61
2025-05-31,11:17:01,-,R3:,-67
2025-05-31,11:17:01,-,R2:,-66
2025-05-31,11:17:03,-,R5:,-60
2025-05-31,11:17:04,-,R1:,-65
2025-05-31,11:17:05,-,R2:,-68
2025-05-31,11:17:05,-,R3:,-100
2025-05-31,11:17:07,-,R5:,-63
2025-05-31,11:17:08,-,R4:,-73
2025-05-31,11:17:08,-,R1:,-100
2025-05-31,11:17:09,-,R3:,-74
2025-05-31,11:17:09,-,R2:,-100
2025-05-31,11:17:10,-,R5:,-65
2025-05-31,11:17:12,-,R4:,-66
2025-05-31,11:17:12,-,R1:,-66
2025-05-31,11:17:12,-,R3:,-65
2025-05-31,11:17:13,-,R2:,-68
2025-05-31,11:17:14,-,R5:,-64
2025-05-31,11:17:15,-,R4:,-65
2025-05-31,11:17:16,-,R1:,-67
2025-05-31,11:17:16,-,R3:,-66
2025-05-31,11:17:16,-,R2:,-66
2025-05-31,11:17:18,-,R5:,-100
2025-05-31,11:17:19,-,R4:,-64
2025-05-31,11:17:19,-,R1:,-69
2025-05-31,11:17:20,-,R3:,-69
2025-05-31,11:17:20,-,R2:,-65
2025-05-31,11:17:22,-,R5:,-60
2025-05-31,11:17:22,-,R4:,-65
2025-05-31,11:17:23,-,R1:,-71
2025-05-31,11:17:23,-,R3:,-67
2025-05-31,11:17:24,-,R2:,-67
2025-05-31,11:17:25,-,R5:,-59
2025-05-31,11:17:26,-,R4:,-62
2025-05-31,11:17:26,-,R1:,-69
2025-05-31,11:17:27,-,R3:,-68
2025-05-31,11:17:27,-,R2:,-68
2025-05-31,11:17:30,-,R5:,-58
2025-05-31,11:17:30,-,R4:,-62
2025-05-31,11:17:31,-,R1:,-68
2025-05-31,11:17:31,-,R3:,-68
2025-05-31,11:17:32,-,R2:,-67
2025-05-31,11:17:33,-,R5:,-59
2025-05-31,11:17:34,-,R4:,-63
2025-05-31,11:17:34,-,R1:,-65
2025-05-31,11:17:35,-,R3:,-66
2025-05-31,11:17:35,-,R2:,-70
2025-05-31,11:17:37,-,R5:,-60
2025-05-31,11:17:38,-,R4:,-61
2025-05-31,11:17:38,-,R1:,-69
2025-05-31,11:17:38,-,R3:,-66
2025-05-31,11:17:39,-,R2:,-71
2025-05-31,11:17:40,-,R5:,-64
2025-05-31,11:17:41,-,R4:,-67
2025-05-31,11:17:41,-,R1:,-63
2025-05-31,11:17:42,-,R3:,-73
2025-05-31,11:17:42,-,R2:,-71
2025-05-31,11:17:44,-,R5:,-59
2025-05-31,11:17:45,-,R4:,-69
2025-05-31,11:17:45,-,R1:,-74
2025-05-31,11:17:45,-,R3:,-72
2025-05-31,11:17:46,-,R2:,-72
2025-05-31,11:17:48,-,R5:,-64
2025-05-31,11:17:48,-,R4:,-67
2025-05-31,11:17:48,-,R1:,-70
2025-05-31,11:17:49,-,R3:,-65
2025-05-31,11:17:49,-,R2:,-71
2025-05-31,11:17:51,-,R5:,-63
2025-05-31,11:17:52,-,R4:,-64
2025-05-31,11:17:52,-,R1:,-72
2025-05-31,11:17:52,-,R3:,-68
2025-05-31,11:17:53,-,R2:,-70
2025-05-31,11:17:55,-,R5:,-57
2025-05-31,11:17:55,-,R4:,-62
2025-05-31,11:17:55,-,R1:,-68
2025-05-31,11:17:56,-,R3:,-69
2025-05-31,11:17:56,-,R2:,-72
2025-05-31,11:17:59,-,R5:,-62
2025-05-31,11:18:00,-,R4:,-64
2025-05-31,11:18:00,-,R1:,-66
2025-05-31,11:18:00,-,R3:,-68
2025-05-31,11:18:01,-,R2:,-68
2025-05-31,11:18:03,-,R5:,-62
2025-05-31,11:18:03,-,R4:,-69
2025-05-31,11:18:04,-,R1:,-67
2025-05-31,11:18:04,-,R3:,-65
2025-05-31,11:18:04,-,R2:,-69
2025-05-31,11:18:06,-,R5:,-63
2025-05-31,11:18:07,-,R4:,-66
2025-05-31,11:18:07,-,R1:,-67
2025-05-31,11:18:07,-,R3:,-68
2025-05-31,11:18:08,-,R2:,-72
2025-05-31,11:18:10,-,R5:,-64
2025-05-31,11:18:10,-,R4:,-68
2025-05-31,11:18:11,-,R1:,-68
2025-05-31,11:18:11,-,R3:,-70
2025-05-31,11:18:11,-,R2:,-73
2025-05-31,11:18:13,-,R5:,-62
2025-05-31,11:18:14,-,R4:,-72
2025-05-31,11:18:14,-,R1:,-72
2025-05-31,11:18:14,-,R3:,-78
2025-05-31,11:18:15,-,R2:,-71
2025-05-31,11:18:17,-,R5:,-70
