2025-05-31,10:26:14,-,R6:,-79
2025-05-31,10:26:14,-,R1:,-69
2025-05-31,10:26:14,-,R8:,-82
2025-05-31,10:26:14,-,R4:,-73
2025-05-31,10:26:14,-,R5:,-70
2025-05-31,10:26:15,-,R3:,-75
2025-05-31,10:26:15,-,R7:,-74
2025-05-31,10:26:16,-,R6:,-82
2025-05-31,10:26:16,-,R1:,-69
2025-05-31,10:26:17,-,R4:,-72
2025-05-31,10:26:17,-,R2:,-65
2025-05-31,10:26:17,-,R5:,-65
2025-05-31,10:26:18,-,R3:,-70
2025-05-31,10:26:19,-,R7:,-80
2025-05-31,10:26:19,-,R6:,-80
2025-05-31,10:26:20,-,R8:,-88
2025-05-31,10:26:20,-,R1:,-72
2025-05-31,10:26:20,-,R4:,-79
2025-05-31,10:26:21,-,R5:,-72
2025-05-31,10:26:22,-,R3:,-74
2025-05-31,10:26:22,-,R7:,-72
2025-05-31,10:26:23,-,R6:,-77
2025-05-31,10:26:23,-,R8:,-83
2025-05-31,10:26:23,-,R1:,-72
2025-05-31,10:26:23,-,R4:,-76
2025-05-31,10:26:24,-,R5:,-69
2025-05-31,10:26:25,-,R3:,-75
2025-05-31,10:26:26,-,R6:,-80
2025-05-31,10:26:26,-,R8:,-84
2025-05-31,10:26:27,-,R1:,-73
2025-05-31,10:26:27,-,R4:,-75
2025-05-31,10:26:27,-,R2:,-73
2025-05-31,10:26:27,-,R5:,-65
2025-05-31,10:26:30,-,R3:,-75
2025-05-31,10:26:30,-,R7:,-77
2025-05-31,10:26:31,-,R8:,-86
2025-05-31,10:26:31,-,R6:,-77
2025-05-31,10:26:31,-,R1:,-82
2025-05-31,10:26:31,-,R4:,-75
2025-05-31,10:26:31,-,R5:,-65
2025-05-31,10:26:33,-,R3:,-75
2025-05-31,10:26:33,-,R7:,-76
2025-05-31,10:26:34,-,R8:,-87
2025-05-31,10:26:34,-,R6:,-83
2025-05-31,10:26:34,-,R1:,-73
2025-05-31,10:26:35,-,R4:,-80
2025-05-31,10:26:36,-,R3:,-76
2025-05-31,10:26:37,-,R7:,-72
2025-05-31,10:26:37,-,R8:,-91
2025-05-31,10:26:37,-,R6:,-83
2025-05-31,10:26:38,-,R1:,-75
2025-05-31,10:26:38,-,R5:,-71
2025-05-31,10:26:38,-,R2:,-71
2025-05-31,10:26:38,-,R4:,-80
2025-05-31,10:26:40,-,R3:,-75
2025-05-31,10:26:40,-,R7:,-79
2025-05-31,10:26:41,-,R8:,-83
2025-05-31,10:26:41,-,R6:,-88
2025-05-31,10:26:41,-,R1:,-73
2025-05-31,10:26:41,-,R5:,-68
2025-05-31,10:26:42,-,R4:,-80
2025-05-31,10:26:42,-,R2:,-74
2025-05-31,10:26:43,-,R3:,-76
2025-05-31,10:26:45,-,R7:,-75
2025-05-31,10:26:45,-,R8:,-87
2025-05-31,10:26:45,-,R6:,-84
2025-05-31,10:26:46,-,R1:,-75
2025-05-31,10:26:46,-,R5:,-67
2025-05-31,10:26:46,-,R4:,-76
2025-05-31,10:26:48,-,R3:,-79
2025-05-31,10:26:48,-,R7:,-76
2025-05-31,10:26:48,-,R8:,-86
2025-05-31,10:26:49,-,R6:,-80
2025-05-31,10:26:49,-,R5:,-66
2025-05-31,10:26:49,-,R1:,-73
2025-05-31,10:26:49,-,R4:,-74
2025-05-31,10:26:51,-,R3:,-72
2025-05-31,10:26:51,-,R7:,-74
2025-05-31,10:26:51,-,R8:,-100
2025-05-31,10:26:52,-,R6:,-87
2025-05-31,10:26:52,-,R5:,-66
2025-05-31,10:26:53,-,R1:,-79
2025-05-31,10:26:53,-,R4:,-71
2025-05-31,10:26:53,-,R2:,-71
2025-05-31,10:26:55,-,R3:,-77
2025-05-31,10:26:55,-,R8:,-82
2025-05-31,10:26:55,-,R7:,-78
2025-05-31,10:26:56,-,R6:,-79
2025-05-31,10:26:56,-,R1:,-72
2025-05-31,10:26:56,-,R2:,-65
2025-05-31,10:26:57,-,R4:,-100
2025-05-31,10:26:58,-,R3:,-74
2025-05-31,10:26:58,-,R8:,-79
2025-05-31,10:26:58,-,R7:,-74
2025-05-31,10:27:00,-,R5:,-62
2025-05-31,10:27:00,-,R6:,-85
2025-05-31,10:27:00,-,R1:,-76
2025-05-31,10:27:01,-,R2:,-72
2025-05-31,10:27:02,-,R4:,-79
2025-05-31,10:27:02,-,R3:,-73
2025-05-31,10:27:03,-,R7:,-78
2025-05-31,10:27:03,-,R5:,-64
2025-05-31,10:27:03,-,R6:,-81
2025-05-31,10:27:04,-,R1:,-81
2025-05-31,10:27:04,-,R2:,-70
2025-05-31,10:27:05,-,R4:,-76
2025-05-31,10:27:06,-,R8:,-100
2025-05-31,10:27:06,-,R7:,-78
2025-05-31,10:27:06,-,R5:,-63
2025-05-31,10:27:07,-,R6:,-80
2025-05-31,10:27:07,-,R1:,-76
2025-05-31,10:27:08,-,R2:,-72
2025-05-31,10:27:09,-,R4:,-84
2025-05-31,10:27:09,-,R8:,-75
2025-05-31,10:27:09,-,R3:,-68
2025-05-31,10:27:09,-,R7:,-70
2025-05-31,10:27:10,-,R5:,-65
2025-05-31,10:27:10,-,R6:,-78
2025-05-31,10:27:11,-,R1:,-80
2025-05-31,10:27:11,-,R2:,-73
2025-05-31,10:27:12,-,R4:,-69
2025-05-31,10:27:12,-,R8:,-73
2025-05-31,10:27:13,-,R3:,-72
2025-05-31,10:27:13,-,R7:,-75
2025-05-31,10:27:13,-,R5:,-70
2025-05-31,10:27:15,-,R6:,-78
2025-05-31,10:27:15,-,R1:,-72
2025-05-31,10:27:15,-,R2:,-71
2025-05-31,10:27:16,-,R4:,-66
2025-05-31,10:27:17,-,R8:,-70
2025-05-31,10:27:17,-,R3:,-72
2025-05-31,10:27:17,-,R5:,-63
2025-05-31,10:27:17,-,R7:,-70
2025-05-31,10:27:18,-,R6:,-76
2025-05-31,10:27:18,-,R1:,-67
2025-05-31,10:27:19,-,R2:,-70
2025-05-31,10:27:20,-,R4:,-64
2025-05-31,10:27:20,-,R8:,-71
2025-05-31,10:27:20,-,R3:,-78
2025-05-31,10:27:20,-,R5:,-65
2025-05-31,10:27:21,-,R7:,-73
2025-05-31,10:27:22,-,R6:,-78
2025-05-31,10:27:22,-,R1:,-68
2025-05-31,10:27:22,-,R2:,-70
2025-05-31,10:27:23,-,R4:,-64
2025-05-31,10:27:24,-,R5:,-67
2025-05-31,10:27:24,-,R3:,-71
2025-05-31,10:27:24,-,R7:,-75
