Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-61.26,-72,-53,4.23,81,100.0
R2,0.0,0,0,0.0,0,0.0
R3,-66.06,-100,-57,7.75,78,96.3
R4,0.0,0,0,0.0,0,0.0
R5,-62.81,-100,-55,5.76,79,97.53
R6,0.0,0,0,0.0,0,0.0
R7,-61.24,-69,-54,2.93,80,98.77
R8,0.0,0,0,0.0,0,0.0
