Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-65.27,-100,-58,8.39,45,100.0
R2,0.0,0,0,0.0,0,0.0
R3,-66.5,-100,-59,8.21,42,93.33
R4,0.0,0,0,0.0,0,0.0
R5,-70.53,-100,-61,6.24,36,80.0
R6,0.0,0,0,0.0,0,0.0
R7,-67.6,-100,-59,8.51,45,100.0
R8,0.0,0,0,0.0,0,0.0
