Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-58.44,-76,-47,6.68,63,100.0
R2,-65.66,-74,-57,5.14,61,96.83
R3,-63.18,-100,-54,8.46,55,87.3
R4,-62.3,-73,-56,3.81,54,85.71
R5,-58.27,-65,-47,3.34,63,100.0
R6,-74.63,-82,-70,2.62,60,95.24
R7,-61.58,-100,-55,6.55,52,82.54
R8,-68.1,-77,-61,3.75,59,93.65
