Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-62.14,-76,-48,5.06,51,96.23
R2,-62.25,-76,-53,4.58,48,90.57
R3,-69.75,-100,-56,6.22,48,90.57
R4,-66.17,-75,-56,4.36,52,98.11
R5,-60.4,-100,-50,7.81,52,98.11
R6,-77.74,-100,-71,4.18,53,100.0
R7,-65.36,-75,-54,5.3,47,88.68
R8,-73.14,-100,-62,5.92,50,94.34
