Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-64.16,-100,-48,12.04,116,88.55
R2,-73.51,-100,-60,11.34,86,65.65
R3,-70.36,-100,-55,11.77,124,94.66
R4,-72.69,-100,-57,11.17,112,85.5
R5,-67.64,-100,-46,11.96,116,88.55
R6,-75.78,-100,-61,10.38,109,83.21
R7,-65.63,-100,-49,13.13,130,99.24
R8,-73.6,-100,-56,11.12,131,100.0
