Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-56.6,-64,-49,3.57,83,96.51
R2,-62.14,-79,-54,4.25,84,97.67
R3,-64.49,-77,-55,4.16,73,84.88
R4,-74.69,-100,-64,8.21,77,89.53
R5,-64.3,-100,-55,6.59,86,100.0
R6,-82.54,-100,-74,6.46,85,98.84
R7,-59.2,-67,-53,3.52,84,97.67
R8,-68.64,-100,-61,5.59,84,97.67
