Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-72.67,-100,-57,6.34,49,96.08
R2,-69.86,-76,-64,3.05,44,86.27
R3,-73.16,-100,-51,5.87,49,96.08
R4,-70.82,-100,-60,6.89,50,98.04
R5,-66.56,-100,-60,5.79,45,88.24
R6,-78.9,-100,-65,5.93,51,100.0
R7,-75.39,-100,-57,7.26,46,90.2
R8,-78.15,-100,-69,7.45,46,90.2
