Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-68.61,-100,-61,5.25,56,100.0
R2,-71.67,-100,-64,7.4,55,98.21
R3,-70.18,-100,-65,4.93,56,100.0
R4,-66.3,-76,-58,3.67,53,94.64
R5,-61.96,-100,-53,8.0,56,100.0
R6,0.0,0,0,0.0,0,0.0
R7,0.0,0,0,0.0,0,0.0
R8,0.0,0,0,0.0,0,0.0
