Nodo transmisor,Promedio RSSI (dBm),Mínimo (dBm),Máximo (dBm),Desviación Std,Muestras,% Efectividad
R1,-67.16,-72,-62,2.4,31,100.0
R2,0.0,0,0,0.0,0,0.0
R3,-56.48,-62,-53,1.69,31,100.0
R4,0.0,0,0,0.0,0,0.0
R5,-56.0,-67,-51,2.76,31,100.0
R6,0.0,0,0,0.0,0,0.0
R7,-63.38,-68,-56,3.67,29,93.55
R8,0.0,0,0,0.0,0,0.0
